DayDummy,Date,Hour,semesterBool,TMAX,TMIN,kW
0,19,22,1,71,44,1
0,19,23,1,71,44,1
0,20,0,1,74,46,1
0,20,1,1,74,46,1
0,20,2,1,74,46,1
0,20,3,1,74,46,1
0,20,4,1,74,46,1
0,20,5,1,74,46,1
0,20,6,1,74,46,1
0,20,7,1,74,46,1
0,20,8,1,74,46,1
0,20,9,1,74,46,1
0,20,10,1,74,46,2
0,20,11,1,74,46,1
0,20,12,1,74,46,2
0,20,13,1,74,46,2
0,20,14,1,74,46,2
0,20,15,1,74,46,2
0,20,16,1,74,46,2
0,20,17,1,74,46,2
0,20,18,1,74,46,2
0,20,19,1,74,46,2
0,20,20,1,74,46,2
0,20,21,1,74,46,2
0,20,22,1,74,46,1
0,20,23,1,74,46,1
1,21,0,1,68,49,1
1,21,1,1,68,49,1
1,21,2,1,68,49,1
1,21,3,1,68,49,1
1,21,4,1,68,49,1
1,21,5,1,68,49,1
1,21,6,1,68,49,1
1,21,7,1,68,49,1
1,21,8,1,68,49,1
1,21,9,1,68,49,2
1,21,10,1,68,49,2
1,21,11,1,68,49,2
1,21,12,1,68,49,2
1,21,13,1,68,49,3
1,21,14,1,68,49,2
1,21,15,1,68,49,2
1,21,16,1,68,49,2
1,21,17,1,68,49,3
1,21,18,1,68,49,2
1,21,19,1,68,49,2
1,21,20,1,68,49,2
1,21,21,1,68,49,2
1,21,22,1,68,49,1
1,21,23,1,68,49,1
1,22,0,1,64,43,1
1,22,1,1,64,43,1
1,22,2,1,64,43,1
1,22,3,1,64,43,2
1,22,4,1,64,43,1
1,22,5,1,64,43,1
1,22,6,1,64,43,1
1,22,7,1,64,43,1
1,22,8,1,64,43,2
1,22,9,1,64,43,3
1,22,10,1,64,43,3
1,22,11,1,64,43,3
1,22,12,1,64,43,3
1,22,13,1,64,43,3
1,22,14,1,64,43,3
1,22,15,1,64,43,3
1,22,16,1,64,43,3
1,22,17,1,64,43,3
1,22,18,1,64,43,3
1,22,19,1,64,43,3
1,22,20,1,64,43,2
1,22,21,1,64,43,2
1,22,22,1,64,43,2
1,22,23,1,64,43,2
1,23,0,1,62,38,1
1,23,1,1,62,38,1
1,23,2,1,62,38,1
1,23,3,1,62,38,1
1,23,4,1,62,38,1
1,23,5,1,62,38,1
1,23,6,1,62,38,2
1,23,7,1,62,38,2
1,23,8,1,62,38,2
1,23,9,1,62,38,3
1,23,10,1,62,38,3
1,23,11,1,62,38,3
1,23,12,1,62,38,3
1,23,13,1,62,38,3
1,23,14,1,62,38,3
1,23,15,1,62,38,3
1,23,16,1,62,38,3
1,23,17,1,62,38,3
1,23,18,1,62,38,3
1,23,19,1,62,38,3
1,23,20,1,62,38,2
1,23,21,1,62,38,2
1,23,22,1,62,38,2
1,23,23,1,62,38,2
1,24,0,1,69,39,1
1,24,1,1,69,39,1
1,24,2,1,69,39,1
1,24,3,1,69,39,1
1,24,4,1,69,39,1
1,24,5,1,69,39,1
1,24,6,1,69,39,2
1,24,7,1,69,39,2
1,24,8,1,69,39,2
1,24,9,1,69,39,3
1,24,10,1,69,39,3
1,24,11,1,69,39,3
1,24,12,1,69,39,3
1,24,13,1,69,39,3
1,24,14,1,69,39,3
1,24,15,1,69,39,3
1,24,16,1,69,39,3
1,24,17,1,69,39,3
1,24,18,1,69,39,3
1,24,19,1,69,39,3
1,24,20,1,69,39,2
1,24,21,1,69,39,2
1,24,22,1,69,39,2
1,24,23,1,69,39,2
1,25,0,1,69,40,2
1,25,1,1,69,40,1
1,25,2,1,69,40,1
1,25,3,1,69,40,2
1,25,4,1,69,40,1
1,25,5,1,69,40,1
1,25,6,1,69,40,1
1,25,7,1,69,40,1
1,25,8,1,69,40,3
1,25,9,1,69,40,3
1,25,10,1,69,40,3
1,25,11,1,69,40,3
1,25,12,1,69,40,3
1,25,13,1,69,40,3
1,25,14,1,69,40,3
1,25,15,1,69,40,3
1,25,16,1,69,40,3
1,25,17,1,69,40,3
1,25,18,1,69,40,3
1,25,19,1,69,40,2
1,25,20,1,69,40,2
1,25,21,1,69,40,2
1,25,22,1,69,40,2
1,25,23,1,69,40,2
0,26,0,1,72,41,1
0,26,1,1,72,41,1
0,26,2,1,72,41,1
0,26,3,1,72,41,1
0,26,4,1,72,41,1
0,26,5,1,72,41,1
0,26,6,1,72,41,1
0,26,7,1,72,41,1
0,26,8,1,72,41,1
0,26,9,1,72,41,2
0,26,10,1,72,41,2
0,26,11,1,72,41,2
0,26,12,1,72,41,2
0,26,13,1,72,41,2
0,26,14,1,72,41,2
0,26,15,1,72,41,2
0,26,16,1,72,41,2
0,26,17,1,72,41,2
0,26,18,1,72,41,2
0,26,19,1,72,41,2
0,26,20,1,72,41,2
0,26,21,1,72,41,2
0,26,22,1,72,41,1
