kW,DayDummy,Date,Hour,semesterBool,TMAX,TMIN
506.0005035,1,18,8,1,70,51
546.0817413,1,18,9,1,70,51
575.6480103,1,18,10,1,70,51
585.4992371,1,18,11,1,70,51
635.1507568,1,18,12,1,70,51
590.2257538,1,18,13,1,70,51
589.4997559,1,18,14,1,70,51
597.6860046,1,18,15,1,70,51
554.6557465,1,18,16,1,70,51
575.7849884,1,18,17,1,70,51
547.1837463,1,18,18,1,70,51
527.6165009,1,18,19,1,70,51
510.699501,1,18,20,1,70,51
505.9820099,1,18,21,1,70,51
491.9974976,1,18,22,1,70,51
489.5964966,1,18,23,1,70,51
466.4700012,0,19,0,1,71,44
463.1517487,0,19,1,1,71,44
472.8085022,0,19,2,1,71,44
467.5820007,0,19,3,1,71,44
470.1897507,0,19,4,1,71,44
481.5057449,0,19,5,1,71,44
483.0802536,0,19,6,1,71,44
487.6797409,0,19,7,1,71,44
485.9710007,0,19,8,1,71,44
503.8899994,0,19,9,1,71,44
528.5390015,0,19,10,1,71,44
521.9377441,0,19,11,1,71,44
538.3477478,0,19,12,1,71,44
523.7242432,0,19,13,1,71,44
519.1467438,0,19,14,1,71,44
548.4207458,0,19,15,1,71,44
525.7702484,0,19,16,1,71,44
524.3257599,0,19,17,1,71,44
523.5537567,0,19,18,1,71,44
511.3120041,0,19,19,1,71,44
512.4707565,0,19,20,1,71,44
516.3787613,0,19,21,1,71,44
490.6452484,0,19,22,1,71,44
485.6534958,0,19,23,1,71,44
468.9610062,0,20,0,1,74,46
485.8607483,0,20,1,1,74,46
469.126503,0,20,2,1,74,46
470.1009979,0,20,3,1,74,46
470.0087509,0,20,4,1,74,46
470.3917465,0,20,5,1,74,46
481.1240005,0,20,6,1,74,46
476.4325027,0,20,7,1,74,46
474.6185074,0,20,8,1,74,46
497.4914856,0,20,9,1,74,46
512.4415131,0,20,10,1,74,46
497.2617493,0,20,11,1,74,46
513.2170029,0,20,12,1,74,46
518.2667618,0,20,13,1,74,46
505.9870071,0,20,14,1,74,46
517.9570007,0,20,15,1,74,46
507.2482452,0,20,16,1,74,46
521.4014969,0,20,17,1,74,46
522.2705002,0,20,18,1,74,46
524.0610199,0,20,19,1,74,46
509.7122498,0,20,20,1,74,46
503.0122452,0,20,21,1,74,46
493.9117508,0,20,22,1,74,46
488.8872452,0,20,23,1,74,46
475.4029999,1,21,0,1,68,49
471.4189987,1,21,1,1,68,49
472.918251,1,21,2,1,68,49
464.1257477,1,21,3,1,68,49
466.9247513,1,21,4,1,68,49
473.032753,1,21,5,1,68,49
474.3905106,1,21,6,1,68,49
458.6070099,1,21,7,1,68,49
473.2387466,1,21,8,1,68,49
504.184494,1,21,9,1,68,49
525.1649933,1,21,10,1,68,49
547.7684937,1,21,11,1,68,49
539.5274963,1,21,12,1,68,49
551.1649933,1,21,13,1,68,49
531.4812469,1,21,14,1,68,49
545.3847504,1,21,15,1,68,49
541.9075012,1,21,16,1,68,49
555.8119965,1,21,17,1,68,49
528.666748,1,21,18,1,68,49
519.9500046,1,21,19,1,68,49
505.3502502,1,21,20,1,68,49
515.8092575,1,21,21,1,68,49
493.9000092,1,21,22,1,68,49
491.7832489,1,21,23,1,68,49
480.8325043,1,22,0,1,64,43
484.6485062,1,22,1,1,64,43
485.4065018,1,22,2,1,64,43
504.4807587,1,22,3,1,64,43
490.9800034,1,22,4,1,64,43
488.7549973,1,22,5,1,64,43
481.7212448,1,22,6,1,64,43
495.1795044,1,22,7,1,64,43
528.3597565,1,22,8,1,64,43
554.6417389,1,22,9,1,64,43
613.1507416,1,22,10,1,64,43
632.6804962,1,22,11,1,64,43
615.2569885,1,22,12,1,64,43
612.9362488,1,22,13,1,64,43
633.7985229,1,22,14,1,64,43
617.4115143,1,22,15,1,64,43
599.053009,1,22,16,1,64,43
569.7957458,1,22,17,1,64,43
560.3632507,1,22,18,1,64,43
550.2525177,1,22,19,1,64,43
542.1132507,1,22,20,1,64,43
533.6942444,1,22,21,1,64,43
532.2280045,1,22,22,1,64,43
540.1779938,1,22,23,1,64,43
495.7777557,1,23,0,1,62,38
488.9605026,1,23,1,1,62,38
475.9267502,1,23,2,1,62,38
491.3512573,1,23,3,1,62,38
490.1340027,1,23,4,1,62,38
493.0084991,1,23,5,1,62,38
505.7997589,1,23,6,1,62,38
513.2414932,1,23,7,1,62,38
543.1992493,1,23,8,1,62,38
559.8212585,1,23,9,1,62,38
621.1654968,1,23,10,1,62,38
629.026001,1,23,11,1,62,38
609.6425018,1,23,12,1,62,38
